yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
2020,ALWC3,avilaal01,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,NLDS2,avilalu01,LAN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,NLCS,avilalu01,LAN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,NLDS2,avilalu01,LAN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,ALCS,avilape01,CLE,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NLCS,azocajo01,SDN,NL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NLDS2,azocajo01,SDN,NL,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,NLCS,baderha01,SLN,NL,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2019,NLDS2,baderha01,SLN,NL,4,10,1,2,0,0,0,1,1,1,0,5,0,0,0,0,0
2020,NLWC2,baderha01,SLN,NL,3,9,1,1,0,0,0,2,0,0,0,7,0,1,0,1,0
2021,NLWC,baderha01,SLN,NL,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
2022,ALCS,baderha01,NYA,AL,4,15,4,6,0,0,2,2,0,1,2,4,0,0,0,0,0
2022,ALDS1,baderha01,NYA,AL,5,15,4,4,0,0,3,4,0,0,2,2,0,1,0,0,0
2024,NLDS1,baderha01,NYN,NL,4,6,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0
2024,NLCS,baderha01,NYN,NL,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2024,NLWC1,baderha01,NYN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,NLDS1,baezja01,CHN,NL,2,5,1,4,0,0,1,3,1,0,0,0,0,0,0,0,0
2015,NLCS,baezja01,CHN,NL,4,10,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0
2016,NLCS,baezja01,CHN,NL,6,22,3,7,4,0,0,5,2,0,1,4,0,0,0,1,0
2016,NLDS1,baezja01,CHN,NL,4,16,4,6,0,0,1,2,0,0,1,4,0,0,0,0,0
2016,WS,baezja01,CHN,NL,7,30,1,5,0,0,1,1,0,0,0,13,0,0,0,0,1
2017,NLCS,baezja01,CHN,NL,5,12,2,2,0,0,2,2,1,0,1,6,0,0,0,0,0
2017,NLDS2,baezja01,CHN,NL,5,14,1,0,0,0,0,0,1,0,1,5,0,0,0,0,2
2018,NLWC,baezja01,CHN,NL,1,5,0,1,1,0,0,1,1,0,1,2,0,0,0,0,0
2020,NLWC3,baezja01,CHN,NL,2,8,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
