playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
florody01,2018,WS,LAN,NL,0,1,2,0,0,0,0,7,3,3,0,2,3,0.3,11.57,2,0,0,0,12,0,3,0,0,0
florody01,2020,NLCS,LAN,NL,0,0,2,0,0,0,0,7,2,1,1,1,4,0.2,3.86,0,0,0,0,11,0,3,0,0,0
florody01,2020,NLDS1,LAN,NL,0,0,1,0,0,0,0,3,1,0,0,0,1,0.25,0,0,0,0,0,4,1,0,0,0,0
florody01,2020,WS,LAN,NL,0,0,3,0,0,0,0,6,2,2,0,0,2,0.286,9,0,0,0,0,7,0,2,0,0,0
foleyja01,2024,ALWC1,DET,AL,0,0,1,0,0,0,0,1,3,1,0,0,0,1,27,0,0,0,0,4,0,1,1,0,0
foltymi01,2018,NLDS2,ATL,NL,0,1,2,2,0,0,0,18,5,5,2,7,10,0.227,7.5,1,0,1,0,31,0,5,1,0,0
foltymi01,2019,NLDS2,ATL,NL,1,1,2,2,0,0,0,22,6,6,0,3,7,0.214,7.36,1,0,0,0,32,0,7,1,0,1
fostema01,2020,ALWC4,CHA,AL,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
francjp01,2023,ALCS,HOU,AL,0,0,2,0,0,0,0,9,6,4,0,2,2,0.429,12,0,0,0,0,16,0,4,0,0,0
freelky01,2018,NLWC,COL,NL,0,0,1,1,0,0,0,20,4,0,0,1,6,0.174,0,0,0,0,0,24,0,0,0,0,1
friaslu01,2023,NLCS,ARI,NL,0,0,3,0,0,0,0,8,1,1,1,1,2,0.111,3.38,0,0,0,0,10,1,1,0,0,0
friaslu01,2023,NLDS2,ARI,NL,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0
friaslu01,2023,WS,ARI,NL,0,0,3,0,0,0,0,9,2,0,1,2,5,0.167,0,0,0,0,0,14,1,3,0,0,0
friedma01,2018,NLDS2,ATL,NL,0,0,4,0,0,0,0,7,1,1,1,1,1,0.143,3.86,0,0,0,0,8,0,1,0,0,1
friedma01,2019,NLDS2,ATL,NL,0,0,4,0,0,0,0,12,5,4,0,3,6,0.278,9,0,1,0,0,21,0,4,0,0,0
friedma01,2020,NLCS,ATL,NL,0,1,2,2,0,0,0,38,12,4,3,6,14,0.245,2.84,0,0,0,0,55,0,4,0,0,1
friedma01,2020,NLDS2,ATL,NL,0,0,1,1,0,0,0,12,6,4,1,0,4,0.316,9,0,0,0,0,19,0,4,0,0,0
friedma01,2020,NLWC4,ATL,NL,0,0,1,1,0,0,0,21,6,0,0,0,5,0.24,0,0,0,1,0,26,0,0,0,0,0
friedma01,2021,NLCS,ATL,NL,0,1,2,2,0,0,0,32,16,7,3,2,8,0.348,5.91,0,1,1,0,49,0,7,0,0,2
friedma01,2021,NLDS1,ATL,NL,1,0,1,1,0,0,0,18,3,0,0,0,9,0.143,0,0,0,0,0,21,0,0,0,0,0
friedma01,2021,WS,ATL,NL,1,1,2,2,0,0,0,33,11,6,0,1,12,0.262,4.91,0,1,0,0,44,0,6,0,1,2
friedma01,2022,NLDS1,ATL,NL,0,1,1,1,0,0,0,10,8,4,0,1,2,0.471,10.8,0,0,0,0,20,0,6,1,1,0
friedma01,2023,NLDS1,ATL,NL,0,0,1,1,0,0,0,12,6,3,1,4,3,0.333,6.75,0,1,0,0,22,0,3,0,0,0
friedma01,2024,NLWC2,ATL,NL,0,1,1,1,0,0,0,6,8,5,1,0,2,0.533,22.5,0,0,0,0,15,0,5,0,0,0
gaddihu01,2024,ALDS1,CLE,AL,1,0,4,0,0,0,0,12,5,1,0,3,6,0.313,2.25,1,0,1,0,20,0,1,0,0,1
gaddihu01,2024,ALCS,CLE,AL,0,1,4,0,0,0,0,10,3,3,2,2,6,0.214,8.1,0,0,0,0,16,1,6,0,0,0
