playerID,awardID,yearID,lgID,tie,notes
zimmejo02,Pitcher of the Month,2016,AL,,April
zobribe01,Player of the Week,2016,NL,Y,Week of 2016-05-07
zobribe01,World Series MVP,2016,ML,,
abreujo02,Player of the Week,2017,AL,,Week of 2017-05-27
allenco01,Reliever of the Month,2017,AL,,April
alonsyo01,Player of the Week,2017,AL,,Week of 2017-05-06
altuvjo01,Babe Ruth Award,2017,ML,Y,
altuvjo01,Hank Aaron Award,2017,AL,,
altuvjo01,MLB Players Choice Outstanding Player,2017,AL,,
altuvjo01,MLB Players Choice Player of the Year,2017,ML,,
altuvjo01,Most Valuable Player,2017,AL,,
altuvjo01,Player of the Month,2017,AL,,July
altuvjo01,Player of the Week,2017,AL,,Week of 2017-07-08
altuvjo01,Silver Slugger,2017,AL,,2B
altuvjo01,This Year in Baseball Best Major Leaguer,2017,ML,,Esurance
altuvjo01,This Year in Baseball Best Major Leaguer - Postseason,2017,ML,Y,Esurance
altuvjo01,This Year in Baseball Best Major Leaguer - Postseason,2017,ML,Y,Esurance
altuvjo01,TSN All-Star,2017,AL,,2B
altuvjo01,TSN Major League Player of the Year,2017,ML,,
arenano01,Gold Glove,2017,NL,,3B
arenano01,Majestic Athletic Always Game Award,2017,ML,,
arenano01,Platinum Glove,2017,NL,,
arenano01,Player of the Month,2017,NL,,July
arenano01,Player of the Week,2017,NL,,Week of 2017-07-22
arenano01,Silver Slugger,2017,NL,,3B
arenano01,This Year in Baseball Best Defensive Player,2017,ML,,Esurance
arenano01,This Year in Baseball Best Play - Offense,2017,ML,,Esurance
arenano01,This Year in Baseball Best Play - Offense,2017,ML,,Esurance
arrieja01,Pitcher of the Month,2017,NL,,August
barnhtu01,Gold Glove,2017,NL,,C
beckhti01,Player of the Week,2017,AL,,Week of 2017-08-05
bellico01,MLB Players Choice Outstanding Rookie,2017,NL,,
bellico01,Player of the Week,2017,NL,,Week of 2017-06-24
bellico01,Player of the Week,2017,NL,,Week of 2017-05-06
bellico01,Rookie of the Month,2017,NL,,June
bellico01,Rookie of the Month,2017,NL,,May
bellico01,Rookie of the Year,2017,NL,,
bellico01,TSN Rookie of the Year,2017,NL,,
beltrad01,Player of the Week,2017,AL,Y,Week of 2017-07-29
beninan01,Rookie of the Month,2017,AL,,August
bettsmo01,Gold Glove,2017,AL,,RF
bettsmo01,Player of the Week,2017,AL,,Week of 2017-05-13
bettsmo01,Player of the Week,2017,AL,,Week of 2017-07-01
bettsmo01,TSN All-Star,2017,AL,,OF
blackch02,Player of the Month,2017,NL,,May
blackch02,Player of the Week,2017,NL,,Week of 2017-05-27
blackch02,Silver Slugger,2017,NL,,OF
blackch02,TSN All-Star,2017,NL,,OF
buxtoby01,Gold Glove,2017,AL,,CF
buxtoby01,Platinum Glove,2017,AL,,
buxtoby01,Player of the Week,2017,AL,,Week of 2017-08-26
canoro01,All-Star Game MVP,2017,AL,,
chapmar01,Reliever of the Month,2017,AL,,September
colomal01,Reliever of the Month,2017,AL,,August
contrwi01,Player of the Week,2017,NL,,Week of 2017-08-05
correca01,Player of the Month,2017,AL,,May
correca01,Player of the Week,2017,AL,,Week of 2017-09-30
crawfbr01,Gold Glove,2017,NL,,SS
cruzne02,Outstanding DH Award,2017,AL,,
cruzne02,Silver Slugger,2017,AL,,DH
cruzne02,TSN All-Star,2017,AL,,DH
degroja01,Player of the Week,2017,NL,,Week of 2017-06-17
dejonpa01,Rookie of the Month,2017,NL,,July
diazed04,Reliever of the Month,2017,AL,,July
diekmja01,Hutch Award,2017,ML,,
doolise01,Reliever of the Month,2017,NL,,September
doziebr01,Gold Glove,2017,AL,,2B
gennesc01,Player of the Week,2017,NL,,Week of 2017-06-10
goldspa01,Gold Glove,2017,NL,,1B
goldspa01,Silver Slugger,2017,NL,,1B
gordoal01,Gold Glove,2017,AL,,LF
gourryu01,Rookie of the Month,2017,AL,,July
greinza01,Gold Glove,2017,NL,,P
handbr01,Reliever of the Month,2017,NL,,July
harpebr03,Player of the Week,2017,NL,,Week of 2017-04-22
heywaja01,Gold Glove,2017,NL,,RF
hillri01,Pitcher of the Month,2017,NL,,July
hollagr01,Reliever of the Month,2017,NL,,April
hollagr01,Reliever of the Month,2017,NL,,May
hollagr01,TSN Comeback Player of the Year,2017,NL,,
hoskirh01,Rookie of the Month,2017,NL,,August
hosmeer01,Gold Glove,2017,AL,,1B
hosmeer01,Player of the Week,2017,AL,,Week of 2017-09-09
hosmeer01,Silver Slugger,2017,AL,,1B
hosmeer01,TSN All-Star,2017,AL,,1B
inciaen01,Gold Glove,2017,NL,,CF
jacksau01,This Year in Baseball Best Play - Defense,2017,ML,,Esurance
jacksau01,This Year in Baseball Best Play - Defense,2017,ML,,Esurance
janseke01,Reliever of the Month,2017,NL,,June
janseke01,Reliever of the Year Award,2017,NL,,
janseke01,TSN All-Star,2017,NL,,RP
janseke01,TSN Reliever of the Year,2017,NL,,
judgeaa01,MLB Players Choice Outstanding Rookie,2017,AL,,
judgeaa01,Player of the Month,2017,AL,,June
judgeaa01,Player of the Month,2017,AL,,September
judgeaa01,Player of the Week,2017,AL,,Week of 2017-06-10
judgeaa01,Player of the Week,2017,AL,,Week of 2017-09-23
judgeaa01,Rookie of the Month,2017,AL,,June
judgeaa01,Rookie of the Month,2017,AL,,May
judgeaa01,Rookie of the Month,2017,AL,,April
judgeaa01,Rookie of the Month,2017,AL,,September
judgeaa01,Rookie of the Year,2017,AL,,
judgeaa01,Silver Slugger,2017,AL,,OF
judgeaa01,This Year in Baseball Best Rookie,2017,ML,,Esurance
judgeaa01,TSN All-Star,2017,AL,,OF
judgeaa01,TSN Rookie of the Year,2017,AL,,
kershcl01,Player of the Week,2017,NL,,Week of 2017-07-08
keuchda01,Pitcher of the Month,2017,AL,,April
