playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
martico01,2015,1,ATL,NL,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
martico01,2015,2,OAK,AL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martico01,2016,1,SEA,AL,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martico01,2017,1,SEA,AL,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martico02,2019,1,HOU,AL,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martico02,2021,1,ARI,NL,5,,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,
martico02,2022,1,ARI,NL,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martida03,2022,1,CHA,AL,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martida03,2024,1,CHA,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martija03,2019,1,PIT,NL,20,,36,5,9,2,0,0,2,2,0,4,10,0,0,0,0,0,
martija03,2020,1,PIT,NL,7,,9,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,
martija03,2021,1,TEX,AL,58,,144,14,30,3,0,6,17,3,1,8,41,0,0,1,1,1,
martijd02,2015,1,DET,AL,158,,596,93,168,33,2,38,102,3,2,53,178,7,5,0,3,11,
martijd02,2016,1,DET,AL,120,,460,69,141,35,2,22,68,1,2,49,128,2,3,0,5,13,
martijd02,2017,2,ARI,NL,62,,232,47,70,13,1,29,65,2,0,24,74,3,0,0,1,13,
martijd02,2017,1,DET,AL,57,,200,38,61,13,2,16,39,2,0,29,54,5,0,0,3,10,
martijd02,2018,1,BOS,AL,150,,569,111,188,37,2,43,130,6,1,69,146,11,4,0,7,19,
martijd02,2019,1,BOS,AL,146,,575,98,175,33,2,36,105,2,0,72,138,9,4,0,5,19,
martijd02,2020,1,BOS,AL,54,,211,22,45,16,0,7,27,1,0,22,59,3,2,0,2,6,
martijd02,2021,1,BOS,AL,148,,570,92,163,42,3,28,99,0,0,55,150,6,3,0,5,18,
martijd02,2022,1,BOS,AL,139,,533,76,146,43,1,16,62,0,0,52,145,1,5,0,5,20,
martijd02,2023,1,LAN,NL,113,113,432,61,117,27,2,33,103,1,0,34,149,1,2,0,9,11,
martijd02,2024,1,NYN,NL,120,120,434,46,102,24,1,16,69,0,0,49,141,0,6,0,2,17,0
martijo08,2016,1,SLN,NL,12,,16,4,7,1,0,0,1,0,0,2,1,0,0,0,0,0,
martijo08,2017,1,SLN,NL,106,,272,47,84,13,1,14,46,4,0,32,60,2,0,1,2,9,
martijo08,2018,1,SLN,NL,152,,534,64,163,30,0,17,83,0,3,49,104,0,2,2,3,15,
martijo08,2019,1,SLN,NL,128,,334,45,90,13,2,10,42,3,0,35,82,0,2,0,2,14,
martijo08,2020,2,CHN,NL,10,,21,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,
martijo08,2020,1,TBA,AL,24,,67,10,16,4,0,2,10,0,0,9,20,1,0,0,0,5,
martijp01,2023,1,TEX,AL,17,17,40,7,9,1,0,1,4,0,0,2,16,0,0,0,2,0,
martijp01,2024,1,ATL,NL,7,7,10,2,2,1,0,0,0,1,0,0,4,0,0,0,0,0,0
martiju01,2023,1,ARI,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martiju01,2024,1,ARI,NL,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martiky01,2017,1,BOS,AL,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martile01,2015,1,TEX,AL,95,,288,26,63,12,0,5,25,14,5,16,69,1,2,3,1,5,
martile01,2016,1,SEA,AL,143,,518,72,128,17,3,15,47,24,6,44,149,0,3,4,7,10,
martile01,2017,2,CHN,NL,15,,13,2,2,1,0,0,1,1,0,3,4,0,0,0,0,0,
martile01,2017,1,SEA,AL,34,,115,12,20,2,1,3,8,6,4,5,29,1,2,0,0,2,
martile01,2018,2,CLE,AL,6,,15,3,5,0,0,2,4,0,1,1,2,0,0,0,1,1,
martile01,2018,1,DET,AL,78,,303,45,76,15,3,9,29,7,3,29,75,1,3,0,1,1,
martile01,2019,1,CLE,AL,65,,236,32,47,7,0,9,19,4,5,21,78,0,4,3,0,1,
martimi02,2015,1,CLE,AL,16,,30,7,8,2,0,0,2,0,1,1,12,0,0,1,0,1,
martimi02,2016,2,BOS,AL,4,,6,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,
martimi02,2016,3,CLE,AL,27,,35,5,6,1,0,0,1,0,0,1,8,0,0,0,0,0,
martimi02,2016,1,CLE,AL,32,,60,10,17,3,0,1,3,0,2,2,13,0,0,1,0,1,
martimi02,2017,1,CLE,AL,15,,11,1,4,1,0,0,0,0,1,2,5,0,0,1,0,0,
martimi02,2017,2,TBA,AL,13,,26,1,2,0,0,0,0,0,0,3,10,0,0,0,0,0,
martini01,2015,1,TEX,AL,24,,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
martini01,2016,1,TEX,AL,12,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
martini01,2017,1,TEX,AL,23,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
martini01,2022,1,SDN,NL,47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martini01,2023,1,SDN,NL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martini01,2024,1,CIN,NL,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martini02,2018,1,OAK,AL,55,,152,26,45,9,3,1,19,0,0,21,36,1,5,0,1,0,
martini02,2019,1,OAK,AL,6,,11,1,1,0,0,1,2,0,0,2,5,0,0,0,0,0,
martini02,2019,2,SDN,NL,26,,82,7,20,4,1,0,5,0,0,12,21,0,1,0,1,0,
martini02,2021,1,CHN,NL,25,,37,4,10,1,0,0,4,0,1,6,10,1,0,0,2,0,
martini02,2023,1,CIN,NL,29,29,72,10,19,3,1,6,16,0,0,5,15,0,2,0,0,1,
martini02,2024,1,CIN,NL,52,52,146,23,31,4,2,5,24,1,3,9,38,0,4,0,3,1,0
martior01,2024,1,TOR,AL,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
martira04,2015,1,WAS,NL,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martira04,2016,1,WAS,NL,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martiri01,2019,1,BAL,AL,120,,283,29,59,8,3,6,23,10,1,14,83,0,6,5,1,6,
martiri01,2021,1,BAL,AL,37,,98,9,23,2,0,1,8,0,2,4,28,0,1,1,1,1,
martiri01,2022,1,BAL,AL,13,,30,4,5,0,2,0,3,3,1,3,10,0,0,0,0,0,
martiru01,2015,1,TOR,AL,129,,441,76,106,23,2,23,77,4,5,53,106,1,8,0,5,22,
martiru01,2016,1,TOR,AL,137,,455,62,105,16,0,20,74,2,1,64,148,1,10,1,5,12,
martiru01,2017,1,TOR,AL,91,,307,49,68,12,0,13,35,1,2,50,83,0,7,1,0,13,
martiru01,2018,1,TOR,AL,90,,289,37,56,8,0,10,25,0,3,56,82,0,7,0,0,7,
martiru01,2019,1,LAN,NL,83,,209,29,46,5,0,6,20,1,0,30,60,3,8,0,2,1,
martise01,2021,1,HOU,AL,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martise01,2022,1,HOU,AL,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martise01,2023,1,HOU,AL,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martise01,2024,1,HOU,AL,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martivi01,2015,1,DET,AL,120,,440,39,108,20,0,11,64,0,0,31,52,8,7,0,7,18,
martivi01,2016,1,DET,AL,154,,553,65,160,22,0,27,86,0,0,50,90,8,4,0,3,19,
martivi01,2017,1,DET,AL,107,,392,38,100,16,0,10,47,0,0,36,63,3,5,0,2,15,
