playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
baezja01,2016,CHN,NL,NLDS1,2B,4,4,113,7,17,0,2,0,,,
baezja01,2016,CHN,NL,NLCS,2B,6,6,153,8,14,2,5,0,,,
baezja01,2016,CHN,NL,WS,2B,7,7,189,16,16,2,5,0,,,
baezja01,2016,CHN,NL,NLCS,SS,1,0,6,0,1,0,0,0,,,
baezja01,2016,CHN,NL,NLDS1,SS,1,0,3,0,0,0,0,0,,,
baezja01,2017,CHN,NL,NLCS,2B,5,4,99,11,6,0,3,0,,,
baezja01,2017,CHN,NL,NLDS2,2B,5,4,108,7,9,0,2,0,,,
baezja01,2018,CHN,NL,NLWC,SS,1,1,39,1,2,0,1,0,,,
baezja01,2020,CHN,NL,NLWC3,SS,2,2,54,0,6,1,2,0,,,
baezpe01,2015,LAN,NL,NLDS2,P,2,0,1,0,0,0,0,0,,,
baezpe01,2016,LAN,NL,NLCS,P,3,0,10,0,1,1,0,0,,,
baezpe01,2016,LAN,NL,NLDS2,P,4,0,11,0,0,0,0,0,,,
baezpe01,2018,LAN,NL,NLCS,P,4,0,13,0,1,0,0,0,,,
baezpe01,2018,LAN,NL,NLDS2,P,2,0,7,0,0,0,0,0,,,
baezpe01,2018,LAN,NL,WS,P,4,0,14,0,0,0,0,0,,,
baezpe01,2019,LAN,NL,NLDS1,P,2,0,2,0,0,0,0,0,,,
baezpe01,2020,LAN,NL,NLCS,P,4,0,10,0,0,0,0,0,,,
baezpe01,2020,LAN,NL,NLDS1,P,1,0,3,0,0,0,0,0,,,
baezpe01,2020,LAN,NL,WS,P,3,0,10,0,0,0,0,0,,,
bakerbr01,2023,BAL,AL,ALDS1,P,1,0,1,0,0,0,0,0,,,
bandaan01,2024,LAN,NL,NLDS2,P,3,0,9,0,0,0,0,,,,
bandaan01,2024,LAN,NL,NLCS,P,3,0,8,0,0,0,0,,,,
bandaan01,2024,LAN,NL,WS,P,4,0,7,1,0,0,0,,,,
banksta01,2024,PHI,NL,NLDS1,P,1,0,3,0,0,0,0,,,,
barneau01,2017,LAN,NL,NLCS,C,5,4,111,43,0,0,0,0,0,,
barneau01,2017,LAN,NL,NLDS1,C,2,2,54,21,0,0,0,0,0,,
barneau01,2017,LAN,NL,WS,C,7,7,182,54,1,0,0,0,1,,
barneau01,2017,LAN,NL,WS,2B,1,0,6,0,1,0,0,0,,,
barneau01,2018,LAN,NL,NLCS,C,5,5,132,53,3,0,0,0,0,,
barneau01,2018,LAN,NL,WS,C,5,4,111,40,1,0,1,0,0,,
barneau01,2020,LAN,NL,NLCS,C,2,2,42,12,1,1,0,0,0,,
barneau01,2020,LAN,NL,NLDS1,C,1,1,27,8,0,0,0,0,0,,
barneau01,2020,LAN,NL,NLWC1,C,1,1,27,13,0,0,0,0,0,,
barneau01,2020,LAN,NL,WS,C,4,4,108,51,1,0,0,0,0,,
barneau01,2022,LAN,NL,NLDS2,C,1,1,18,9,0,0,0,0,0,,
barneau01,2024,LAN,NL,NLCS,C,1,0,6,0,0,0,0,0,0,0,0
barneda01,2016,TOR,AL,ALCS,2B,4,2,63,1,10,0,0,0,,,
barneda01,2016,TOR,AL,ALDS1,2B,2,2,57,2,5,0,0,0,,,
barneda01,2016,TOR,AL,ALDS1,3B,1,0,3,0,0,0,0,0,,,
barnema01,2016,BOS,AL,ALDS2,P,1,0,5,0,0,0,0,0,,,
barnema01,2018,BOS,AL,ALCS,P,5,0,13,0,1,0,0,0,,,
barnema01,2018,BOS,AL,ALDS1,P,2,0,6,0,0,0,0,0,,,
barnema01,2018,BOS,AL,WS,P,3,0,7,0,0,0,0,0,,,
barnema01,2021,BOS,AL,ALDS2,P,1,0,3,0,0,0,0,0,,,
barneto01,2016,TEX,AL,ALDS1,P,3,0,12,0,0,0,0,0,,,
barnhtu01,2020,CIN,NL,NLWC4,C,2,1,40,24,0,0,0,0,0,,
bassan01,2020,TOR,AL,ALWC1,P,1,0,3,0,0,0,0,0,,,
bassan01,2022,TOR,AL,ALWC2,P,1,0,0,0,0,0,0,0,,,
bassich01,2020,OAK,AL,ALDS2,P,1,1,12,0,0,0,0,0,,,
bassich01,2020,OAK,AL,ALWC4,P,1,1,21,0,1,0,0,0,,,
bassich01,2022,NYN,NL,NLWC1,P,1,1,12,0,0,0,0,0,,,
bastaan01,2015,PIT,NL,NLWC,P,1,0,3,0,0,0,0,0,,,
bauerja01,2024,MIL,NL,NLWC1,1B,1,0,6,3,0,0,0,,,,
bauertr01,2016,CLE,AL,ALCS,P,1,1,2,0,0,0,0,0,,,
bauertr01,2016,CLE,AL,ALDS2,P,1,1,14,0,1,0,0,0,,,
bauertr01,2016,CLE,AL,WS,P,3,2,25,0,1,0,0,0,,,
bauertr01,2017,CLE,AL,ALDS1,P,2,2,25,1,0,0,0,0,,,
bauertr01,2018,CLE,AL,ALDS2,P,3,0,12,0,0,2,0,0,,,
bauertr01,2020,CIN,NL,NLWC4,P,1,1,23,0,0,0,0,0,,,
bautijo02,2015,TOR,AL,ALCS,RF,6,6,153,13,0,0,0,0,,,
bautijo02,2015,TOR,AL,ALDS2,RF,5,5,147,9,0,1,0,0,,,
bautijo02,2016,TOR,AL,ALCS,RF,5,5,126,5,0,0,0,0,,,
bautijo02,2016,TOR,AL,ALDS1,RF,2,2,54,4,0,0,0,0,,,
bautijo02,2016,TOR,AL,ALWC,RF,1,1,33,1,0,0,0,0,,,
bazsh01,2021,TBA,AL,ALDS2,P,1,1,7,0,0,0,0,0,,,
beatyma01,2019,LAN,NL,NLDS1,1B,1,1,20,5,0,0,1,0,,,
beatyma01,2019,LAN,NL,NLDS1,LF,1,1,24,1,0,0,0,0,,,
beatyma01,2020,LAN,NL,NLCS,1B,1,0,6,1,0,1,0,0,,,
beatyma01,2020,LAN,NL,NLCS,LF,1,0,15,0,0,0,0,0,,,
beatyma01,2021,LAN,NL,NLCS,1B,1,1,12,2,0,0,1,0,,,
beatyma01,2021,LAN,NL,NLDS2,1B,1,1,24,7,0,0,1,0,,,
beatyma01,2021,LAN,NL,NLWC,1B,1,1,21,8,1,0,0,0,,,
belisma01,2017,MIN,AL,ALWC,P,1,0,3,0,1,0,0,0,,,
bellaan01,2022,PHI,NL,NLCS,P,2,0,4,0,0,0,0,0,,,
bellaan01,2022,PHI,NL,NLDS1,P,3,0,8,0,1,0,0,0,,,
bellaan01,2022,PHI,NL,WS,P,3,0,9,0,0,0,0,0,,,
bellico01,2017,LAN,NL,NLCS,1B,5,5,132,47,0,0,1,0,,,
bellico01,2017,LAN,NL,NLDS1,1B,3,3,81,23,5,0,4,0,,,
bellico01,2017,LAN,NL,WS,1B,7,7,188,58,1,1,5,0,,,
bellico01,2018,LAN,NL,NLDS2,1B,2,0,6,3,0,0,0,0,,,
bellico01,2018,LAN,NL,NLDS2,CF,4,4,99,9,0,1,0,0,,,
bellico01,2018,LAN,NL,WS,CF,4,2,105,13,1,0,1,0,,,
bellico01,2018,LAN,NL,NLCS,CF,7,5,137,12,0,0,0,0,,,
bellico01,2018,LAN,NL,NLCS,RF,2,0,28,1,0,0,0,0,,,
bellico01,2019,LAN,NL,NLDS1,1B,1,0,3,1,0,0,0,0,,,
bellico01,2019,LAN,NL,NLDS1,CF,5,5,132,15,0,0,0,0,,,
bellico01,2020,LAN,NL,NLCS,CF,7,7,186,17,0,0,0,0,,,
bellico01,2020,LAN,NL,NLDS1,CF,3,3,81,9,0,0,0,0,,,
bellico01,2020,LAN,NL,NLWC1,CF,2,2,54,6,0,0,0,0,,,
bellico01,2020,LAN,NL,WS,CF,5,5,135,11,0,0,0,0,,,
bellico01,2021,LAN,NL,NLCS,1B,4,3,81,16,1,0,3,0,,,
